cluster,topic,id,questionText,questionLatex,hint,answer,answerLatex,solutionText,solutionLatex
Derivative and Rules of Differentiation,Implicit Differentiation,,Find dy/dx by implicit differentiation.,x^4+xy+y^3=x,"Differentiate both sides with respect to x, remembering to use the product rule for xy and chain rule for y^3",(1-4x^3-y)/(x+3y^2),\frac{1-4x^3-y}{x+3y^2},Differentiate both sides with respect to x. Solve for y' by collecting all terms containing y' on one side.,4x^3 + y + xy' + 3y^2y' = 1 \Rightarrow y'(x + 3y^2) = 1 - 4x^3 - y \Rightarrow y' = \frac{1-4x^3-y}{x+3y^2}
Derivative and Rules of Differentiation,Implicit Differentiation,,Find dy/dx by implicit differentiation.,x^2y+xy^2=1,Use the product rule on both terms on the left side,-(y^2+2xy)/(x^2+2xy),-\frac{y^2+2xy}{x^2+2xy},"Apply product rule to both terms, then collect all y' terms on one side.",2xy + x^2y' + y^2 + 2xyy' = 0 \Rightarrow y'(x^2 + 2xy) = -2xy - y^2 \Rightarrow y' = -\frac{y^2+2xy}{x^2+2xy}
Derivative and Rules of Differentiation,Implicit Differentiation,,Find dy/dx by implicit differentiation.,\sqrt{x+y}=x^2,"First rewrite as (x+y)^{1/2} = x^2, then use chain rule on the left side",4xsqrt(x+y)-1,4x\sqrt{x+y}-1,"Apply chain rule to the left side, then solve for y'.",\frac{1}{2\sqrt{x+y}}(1+y') = 2x \Rightarrow 1 + y' = 4x\sqrt{x+y} \Rightarrow y' = 4x\sqrt{x+y} - 1
Derivative and Rules of Differentiation,Implicit Differentiation,,Find dy/dx by implicit differentiation.,e^{2y}-x^2-xy=0,Remember the derivative of e^{2y} requires the chain rule,(2x+y)/(2e^{2y)-x},\frac{2x+y}{2e^{2y}-x},"Differentiate each term, then isolate y'.",2e^{2y}y' - 2x - y - xy' = 0 \Rightarrow y'(2e^{2y} - x) = 2x + y \Rightarrow y' = \frac{2x+y}{2e^{2y}-x}
Derivative and Rules of Differentiation,Implicit Differentiation,,"Find the equation of the tangent line to the curve in the xy-plane, given by:","x^3+y^3=\ 9\ \text{ at }\ \left(1,\ 2\right)","First find dy/dx by implicit differentiation, then evaluate at the given point to find the slope",y=(9)/(4)-(1)/(4)x,y=\frac{9}{4}-\frac{1}{4}x,"Find the slope using implicit differentiation, then use point-slope form.","3x^2 + 3y^2y' = 0 \Rightarrow y' = -\frac{x^2}{y^2}. \text{ At } (1,2): y' = -\frac{1}{4}. \text{ Point-slope: } y - 2 = -\frac{1}{4}(x - 1) \Rightarrow y = \frac{9}{4} - \frac{1}{4}x"
Derivative and Rules of Differentiation,Higher Order Derivatives,,Find the third derivative of the given function and state its domain.,f(x)=2x^4-3x^3+x^2+17,Find the first derivative first,48x-18,48x-18,Take derivatives successively three times. The domain is all real numbers.,"f'(x) = 8x^3 - 9x^2 + 2x, \quad f''(x) = 24x^2 - 18x + 2, \quad f'''(x) = 48x - 18. \quad \text{Domain: } (-\infty, \infty)"
Derivative and Rules of Differentiation,Higher Order Derivatives,,Find the third derivative of the given function and state its domain.,g\left(t\right)=\sqrt{2t+4},Find the first derivative first,32t+4^{-(5)/(2)},3\left(2t+4\right)^{-\frac{5}{2}},Rewrite as a power function and differentiate three times.,"g(t) = (2t+4)^{1/2}, \quad g'(t) = (2t+4)^{-1/2}, \quad g''(t) = -(2t+4)^{-3/2}, \quad g'''(t) = 3(2t+4)^{-5/2}. \quad \text{Domain: } t > -2"
Derivative and Rules of Differentiation,Higher Order Derivatives,,Find the third derivative of the given function and state its domain.,f\left(x\right)=\frac{1}{27}e^{3x-5},Find the first derivative first,e^{3x-5},e^{3x-5},Each derivative multiplies by the constant 3 from the chain rule.,"f'(x) = \frac{1}{9}e^{3x-5}, \quad f''(x) = \frac{1}{3}e^{3x-5}, \quad f'''(x) = e^{3x-5}. \quad \text{Domain: } (-\infty, \infty)"
Derivative and Rules of Differentiation,Higher Order Derivatives,,Find the third derivative of the given function and state its domain.,f\left(x\right)=\ln\left(x^2+1\right),Find the first derivative first,(-4x3-x^2)/(x^2+1^3),\frac{-4x\left(3-x^2\right)}{\left(x^2+1\right)^3},Use the chain rule and quotient rule for successive derivatives.,"f'(x) = \frac{2x}{x^2+1}, \quad f''(x) = \frac{2-2x^2}{(x^2+1)^2}, \quad f'''(x) = \frac{-4x(3-x^2)}{(x^2+1)^3}. \quad \text{Domain: } (-\infty, \infty)"
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=5-2x,Find f'(x) and determine where it is positive or negative,Decreasing on,"\left(-\infty,\ \infty\right)",The derivative is a negative constant.,"f'(x) = -2 < 0 \text{ for all } x. \quad \text{Decreasing on } (-\infty, \infty)"
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=x\ln3,Remember that ln3 is just a constant,Increasing on,"\left(-\infty,\ \infty\right)",The derivative is a positive constant.,"f'(x) = \ln3 \approx 1.099 > 0 \text{ for all } x. \quad \text{Increasing on } (-\infty, \infty)"
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=x^2-2x+7,Find critical points by setting f'(x) = 0,"Decreasing on (1), increasing on (2)","\left(1\right)\ \left(-\infty,\ 1\right),\ \ \left(2\right)\ \left(1,\ \infty\right)","Find where the derivative equals zero, then test intervals.","f'(x) = 2x - 2 = 0 \Rightarrow x = 1. \quad f'(x) < 0 \text{ for } x < 1, \quad f'(x) > 0 \text{ for } x > 1"
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=x^3-3x,Set f'(x) = 0 to find critical points,"Increasing on (1), decreasing on (2)","\left(1\right)\ \left(-\infty,\ -1\right)\ \cup\ \left(1,\ \infty\right),\ \ \left(2\right)\ \left(-\ 1,\ 1\right)",Find critical points and test sign of derivative in each interval.,f'(x) = 3x^2 - 3 = 0 \Rightarrow x = \pm 1. \quad f'(x) > 0 \text{ for } x < -1 \text{ or } x > 1. \quad f'(x) < 0 \text{ for } -1 < x < 1
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=2x^3+3x^2-12x+5,Factor f'(x) to find critical points,"Increasing on (1), decreasing on (2)","\left(1\right)\ \left(-\infty,\ -2\right)\ \cup\ \left(1,\ \infty\right),\ \ \left(2\right)\ \left(-\ 2,\ 1\right)",Factor the derivative to find critical points.,"f'(x) = 6x^2 + 6x - 12 = 6(x+2)(x-1) = 0 \Rightarrow x = -2, 1. \quad f'(x) > 0 \text{ for } x < -2 \text{ or } x > 1. \quad f'(x) < 0 \text{ for } -2 < x < 1"
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=x^{\frac{1}{3}},Rewrite as x^{1/3} and find the derivative,Increasing on,"\left(-\infty,\ \infty\right)","The derivative is positive except at x = 0 where it's undefined, but the function is still increasing.","f'(x) = \frac{1}{3}x^{-2/3} = \frac{1}{3x^{2/3}} > 0 \text{ for all } x \neq 0. \quad \text{Increasing on } (-\infty, \infty)"
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=e^{2-x},Use the chain rule to find f'(x),Decreasing on,"\left(-\infty,\ \infty\right)",The derivative is always negative.,"f'(x) = e^{2-x} \cdot (-1) = -e^{2-x} < 0 \text{ for all } x. \quad \text{Decreasing on } (-\infty, \infty)"
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=\frac{2}{x+1},Rewrite as 2(x+1)^{-1} and use the power rule,Decreasing on,"\left(-\infty,\ -1\right)\cup\left(-1,\ \infty\right)",The derivative is always negative where defined.,"f'(x) = -2(x+1)^{-2} = -\frac{2}{(x+1)^2} < 0 \text{ for } x \neq -1. \quad \text{Decreasing on } (-\infty, -1) \cup (-1, \infty)"
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=\ln\left(x^2+8\right),Use the chain rule to differentiate ln(x^2+8),"Decreasing on (1), increasing on (2)","\left(1\right)\ \left(-\infty,\ 0\right),\ \left(2\right)\ \left(0,\ \infty\right)",Find where the derivative equals zero and test intervals.,f'(x) = \frac{2x}{x^2+8} = 0 \Rightarrow x = 0. \quad f'(x) < 0 \text{ for } x < 0. \quad f'(x) > 0 \text{ for } x > 0
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=\frac{1}{\left(x-2\right)^2},Rewrite as (x-2)^{-2} and use the power rule,"Increasing on (1), decreasing on (2)","\left(1\right)\ \left(-\infty,\ 2\right),\ \left(2\right)\ \left(2,\ \infty\right)",The sign of the derivative depends on the sign of (x-2)^3 in the denominator.,f'(x) = -2(x-2)^{-3} = -\frac{2}{(x-2)^3}. \quad f'(x) > 0 \text{ for } x < 2. \quad f'(x) < 0 \text{ for } x > 2
Concepts of Economics,Marginal Cost,,"The total cost of producing x units of a certain commodity is estimated to be given by the function , where . Find the marginal cost when the level of production is at 10 and at 20 units. Does marginal cost increase or decrease withincreasing production?",C(x) = -0.2x^2+ 16x + 21; 0 \leq x \leq 40,,C'( 10 ) = 12; C'( 20 ) = 8. Marginal cost decreases as production increases.,"C'( 10 ) = 12, C'( 20 ) = 8",,
Concepts of Economics,Marginal Cost,,"The cost of manufacturing x units of a certain commodity is given by dollars, where . Find the marginal cost when the level of production is at 7 andat 16 units. Does marginal cost increase or decrease with increasing production?",C(x) = \sqrt{5x + 1}+4; 0 \leq x \leq 10,,C'( 7 ) = 0; C'( 16 ) = 0. Marginal cost is constant.,"C'( 7 ) = 0, C'( 16 ) = 0",,
Concepts of Economics,Marginal Cost,,"Management of a company manufacturing small refrigerators determines that the dailytotal cost of producing x units is given by dollars, where . (a) Find the marginal cost function C'(x).(b) Find the intervals on which the function C'(x) is increasing and those on which it isdecreasing. Interpret your results.",C(x) = 0.0002x^3- 0.06x^2+ 120x + 3000; 0 \leq x \leq 300,,,,,
Concepts of Economics,Marginal Cost,,Let the proﬁt (in dollars) realizable by a company for the manufacture and sale of x units of a product per month be . Find the marginal proﬁtwhen the level of sales is at 500 and at 1000 units.,P (x) = -0.002x^2+ 10x - 4000,,,,,
Concepts of Economics,Marginal Cost,,"The marketing department of a company has determined that the demand for the product the company produces is ( ), where p is the unit price in dollars and x is the number of units of the quantity demanded. (a) Find the revenue function R. (b) Find the marginal revenue function R'(x). (c) Compute R'(10, 000) and interpret your result",p = -0.02x + 400; 0 \leq x \leq 20000,,,,,
Concepts of Economics,Elasticity of Demand,,"Compute the elasticity of demand and determine whether the demand iselastic, inelastic, or unitary, at the given unit price p0. If the unit price is increased slightly from p0, will the revenue increase or decrease?",x=-(4/3)p+24; p0=6,Use the elasticity of demand formula and remember the rules.,E(p0) = 0.5; classification: inelastic. Revenue increases when price increases.,E(6) = 0.5,,
Concepts of Economics,Elasticity of Demand,,"Compute the elasticity of demand and determine whether the demand iselastic, inelastic, or unitary, at the given unit price p0. If the unit price is increased slightly from p0, will the revenue increase or decrease?",x+(1/4)p-10=0; p0=20,Use the elasticity of demand formula and remember the rules.,E(p0) = -0.333333; classification: inelastic. Revenue increases when price increases.,E(20) = -0.333333,,
Concepts of Economics,Elasticity of Demand,,"Compute the elasticity of demand and determine whether the demand iselastic, inelastic, or unitary, at the given unit price p0. If the unit price is increased slightly from p0, will the revenue increase or decrease?",x=\sqrt{121-p}; p0=88,Use the elasticity of demand formula and remember the rules.,E(p0) = 1.333333; classification: elastic. Revenue decreases when price increases.,E(88) = 1.333333,,
Concepts of Economics,Elasticity of Demand,,"An art gallery oﬀers prints by a famous artist. If each print is priced at p dollars, it isexpected that prints will be sold. a) Find elasticity of demand. Determine values of p for which the demand is elastic, inelastic, and and of unit elasticity. b) If you were the owner of the gallery, what price would you charge for each print?",x = \sqrt{7500 - 0.03p^2},,,,,
Concepts of Economics,Related Rates,,"Two quantities, x(t) and y(t), vary with time. For all t, they are related by x^3+ .Given that, at t = 0, x(0) = −1 and dy/dt= 3, ﬁnd dx/dt at t = 0.",y = 1,,dx/dt = -1 at t=0,\dfrac{dx}{dt} = -1,,
Concepts of Economics,Related Rates,,Suppose that x(t) and y(t) are related by . Find dy/dt at t = 1.,"xy = y^4- x for all t, and \text{ at } t = 1, x(1) =0.5, y(1) = 1 and dx/dt= 7",,dy/dt = 4,\dfrac{dy}{dt} = 4,,
Concepts of Economics,Related Rates,,"Suppose that the quantity demanded monthly of a company producing tires is relatedto the tire’s unit price by the equation 2p + 3x^2= 247, where p is measured in dollars and x in units of a thousand. At what rate is the quantity demanded changing when","x = 7, and the unit price is increasing \text{ at } the rate of $6 per month?",,dx/dt = -0.285714 (thousand units per month),\dfrac{dx}{dt} = -0.285714,,
Concepts of Economics,Related Rates,,"Let the unit price p of a carton of juice be related to the weekly supply x (in thousands of boxes) by the equation 576p^2−x^2= 92. If 22,000 boxes are available at the beginning of a week and the supply is falling at the rate of 800 boxes per week, at what rate is the price changing?",,,dp/dt = -0.030556 dollars per week,\dfrac{dp}{dt} = -0.030556,,
Concepts of Economics,Related Rates,,"The demand function for a certain product , where p is the unit price in dollars, and x is the quantity demanded per week, measured in units of a thousand. Find the elasticity of demand and determine whether the demand elastic, inelastic, or unitary, when x = 10",p = -0.02x^2- 0.1x + 10,,E(10) = 0.714286 (inelastic),E(10) = 0.714286,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=x^2-2x-6,,"relative minimum at x=1, f=-7","relative minimum \text{ at } x=1,\ f=-7",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=-2x^2+x-1,,"relative maximum at x=NaN, f=0","relative maximum \text{ at } x=NaN,\ f=0",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(t) = t^3-3t,,"relative maximum at t=-1, f=2; relative minimum at t=1, f=-2","relative maximum at t=-1, f=2; relative minimum at t=1, f=-2",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=2x^3+x,,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=2x^3+3x^2-12x,,"relative maximum at x=-2, f=20; relative minimum at x=1, f=-7","relative maximum \text{ at } x=-2,\ f=20; relative minimum \text{ at } x=1,\ f=-7",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=3x^{1/3},,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=e^{x-5},,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=e^{x^2+1},,"relative minimum at x=0, f=2.718282","relative minimum at x=0, f=2.718282",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=3/(x-2),,"relative minimum at x=1.99999, f=-299999.999998; relative maximum at x=2.00001, f=299999.999998","relative minimum at x=1.99999, f=-299999.999998; relative maximum at x=2.00001, f=299999.999998",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=x/(x^2+1),,"relative minimum at x=-1, f=-0.5; relative maximum at x=1, f=0.5","relative minimum at x=-1, f=-0.5; relative maximum at x=1, f=0.5",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",3^{2x+1},,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",\ln\left(x^2+3\right),,"relative minimum at x=0, f=1.098612","relative minimum at x=0, f=1.098612",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(x) = x^2- 2x - 6 on [-2, 5]",,"Absolute min at x=-2, f=0; absolute max at x=-2, f=0","\text{min at } x=-2,\ f=0;\ \text{max at } x=-2,\ f=0",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(x) = -x^2+ x - 1 on [-4, 1]",,"Absolute min at x=-4, f=0; absolute max at x=-4, f=0","\text{min at } x=-4,\ f=0;\ \text{max at } x=-4,\ f=0",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(x) = 2x^3+ 3x^2- 12^x + 5 on [-3, 4]",,"Absolute min at x=-3, f=0; absolute max at x=-3, f=0","\text{min at } x=-3,\ f=0;\ \text{max at } x=-3,\ f=0",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(x) = x^2/3 on [-1, 8]",,"Absolute min at x=-1, f=0; absolute max at x=-1, f=0","\text{min at } x=-1,\ f=0;\ \text{max at } x=-1,\ f=0",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(t) =t/(t^2+ 2) on [-1, 2]",,"Absolute min at t=-1, f=0; absolute max at t=-1, f=0","\text{min at } t=-1,\ f=0;\ \text{max at } t=-1,\ f=0",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(x) = 9x + 1/x on [1, 4]",,"Absolute min at x=1, f=0; absolute max at x=1, f=0","\text{min at } x=1,\ f=0;\ \text{max at } x=1,\ f=0",,
Maximum and Minimum Values,Relative Maxima and Minima,,"The monthly profit of a company manufacturing and selling toaster ovens is estimated by dollars, where . To maximize its profit, how many ovens should the company sell per month.",P(x) = -0.03x^2+180x-8000; x \geq 0 is the number of ovens,,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,The quantity demanded per month is related to the unit price of a product by the equation ( ) where p is measured in dollars and x is measured in units of a thousand. How many items must be sold to yield a maximum revenue?,p = 40/(0.02x^2+1); 0 \leq x \leq 15,,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"A travel company determines that if x thousand dollars are spent on advertising a vacation resort, then N(x) people will go for a vacation there, where . How much money should be spent on advertising to maximize the number of people attending the resort?",N(x) = -2x^3+21x^2+180x+100 (0 \leq x \leq 16); x \leq 16); 0 \leq x \leq 16,,,,,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,f(x)=x^2-2x-6,,"Concave up on (-5, -2) ∪ (-2, -1) ∪ (-1, -0.5) ∪ (-0.5, 0) ∪ (0, 0.5) ∪ (0.5, 1) ∪ (1, 2) ∪ (2, 5); concave down on none; inflection points at none","\text{Up on } (-5, -2) \cup (-2, -1) \cup (-1, -0.5) \cup (-0.5, 0) \cup (0, 0.5) \cup (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Down on } none;\ \text{Inflection at } none",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,f(x)=-2x^2+x-1,,"Concave up on none; concave down on (-5, -2) ∪ (-2, -1) ∪ (-1, -0.5) ∪ (-0.5, 0) ∪ (0, 0.5) ∪ (0.5, 1) ∪ (1, 2) ∪ (2, 5); inflection points at none","\text{Up on } none;\ \text{Down on } (-5, -2) \cup (-2, -1) \cup (-1, -0.5) \cup (-0.5, 0) \cup (0, 0.5) \cup (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Inflection at } none",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,f(t) = t^3-3t,,"Concave up on (0.5, 1) ∪ (1, 2) ∪ (2, 5); concave down on (-5, -2) ∪ (-2, -1) ∪ (-1, -0.5); inflection points at none","\text{Up on } (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Down on } (-5, -2) \cup (-2, -1) \cup (-1, -0.5);\ \text{Inflection at } none",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,x^4-2x^3+1,,"Concave up on (-5, -2) ∪ (-2, -1) ∪ (-1, -0.5) ∪ (-0.5, 0) ∪ (1, 2) ∪ (2, 5); concave down on none; inflection points at 0, 1","\text{Up on } (-5, -2) \cup (-2, -1) \cup (-1, -0.5) \cup (-0.5, 0) \cup (1, 2) \cup (2, 5);\ \text{Down on } none;\ \text{Inflection at } 0, 1",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,4+x^{5/3},,"Concave up on (0.5, 1) ∪ (1, 2) ∪ (2, 5); concave down on none; inflection points at none","\text{Up on } (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Down on } none;\ \text{Inflection at } none",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,9x^{8/3},,"Concave up on (0.5, 1) ∪ (1, 2) ∪ (2, 5); concave down on none; inflection points at none","\text{Up on } (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Down on } none;\ \text{Inflection at } none",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,3/(x-1),,"Concave up on (2, 5); concave down on (-5, -2) ∪ (-2, -1) ∪ (-1, -0.5) ∪ (-0.5, 0) ∪ (0, 0.5) ∪ (0.5, 1); inflection points at 1.0001","\text{Up on } (2, 5);\ \text{Down on } (-5, -2) \cup (-2, -1) \cup (-1, -0.5) \cup (-0.5, 0) \cup (0, 0.5) \cup (0.5, 1);\ \text{Inflection at } 1.0001",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,-1/(x-3)^2,,"Concave up on none; concave down on (-5, -2) ∪ (-2, -1) ∪ (-1, -0.5) ∪ (-0.5, 0) ∪ (0, 0.5) ∪ (0.5, 1) ∪ (1, 2) ∪ (2, 5); inflection points at none","\text{Up on } none;\ \text{Down on } (-5, -2) \cup (-2, -1) \cup (-1, -0.5) \cup (-0.5, 0) \cup (0, 0.5) \cup (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Inflection at } none",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,e^{2x-1},,"Concave up on (-5, -2) ∪ (-2, -1) ∪ (-1, -0.5) ∪ (-0.5, 0) ∪ (0, 0.5) ∪ (0.5, 1) ∪ (1, 2) ∪ (2, 5); concave down on none; inflection points at none","\text{Up on } (-5, -2) \cup (-2, -1) \cup (-1, -0.5) \cup (-0.5, 0) \cup (0, 0.5) \cup (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Down on } none;\ \text{Inflection at } none",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,e^{x^3},,"Concave up on (-5, -2) ∪ (-2, -1) ∪ (0, 0.5) ∪ (0.5, 1) ∪ (1, 2) ∪ (2, 5); concave down on none; inflection points at -0.87358, 0","\text{Up on } (-5, -2) \cup (-2, -1) \cup (0, 0.5) \cup (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Down on } none;\ \text{Inflection at } -0.87358, 0",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,2\ln\left(x+1\right),,"Concave up on none; concave down on (-0.5, 0) ∪ (0, 0.5) ∪ (0.5, 1) ∪ (1, 2) ∪ (2, 5); inflection points at none","\text{Up on } none;\ \text{Down on } (-0.5, 0) \cup (0, 0.5) \cup (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Inflection at } none",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,\ln\left(x^2+3\right),,"Concave up on (-1, -0.5) ∪ (-0.5, 0) ∪ (0, 0.5) ∪ (0.5, 1); concave down on (-5, -2) ∪ (2, 5); inflection points at -1.732051, 1.732051","\text{Up on } (-1, -0.5) \cup (-0.5, 0) \cup (0, 0.5) \cup (0.5, 1);\ \text{Down on } (-5, -2) \cup (2, 5);\ \text{Inflection at } -1.732051, 1.732051",,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,x^2-2x-6,,"relative minimum at x=1, f=-7 (by Second Derivative Test)","relative minimum \text{ at } x=1,\ f=-7 (SDT)",,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,2x^3-3x^2,,"relative maximum at x=0, f=0; relative minimum at x=1, f=-1 (by Second Derivative Test)","relative maximum at x=0, f=0; relative minimum at x=1, f=-1 (SDT)",,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,x^4-2x^3+1,,"relative minimum at x=1.5, f=-0.6875 (by Second Derivative Test)","relative minimum at x=1.5, f=-0.6875 (SDT)",,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,x+4/x,,"relative maximum at x=-2, f=-4; relative minimum at x=-0.00001, f=-400000.00001; relative maximum at x=0.00001, f=400000.00001; relative minimum at x=2, f=4 (by Second Derivative Test)","relative maximum at x=-2, f=-4; relative minimum at x=-0.00001, f=-400000.00001; relative maximum at x=0.00001, f=400000.00001; relative minimum at x=2, f=4 (SDT)",,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,2/(1+x^2),,"relative maximum at x=0, f=2 (by Second Derivative Test)","relative maximum at x=0, f=2 (SDT)",,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,(x-2)^4,,"relative minimum at x=2, f=0 (by Second Derivative Test)","relative minimum at x=2, f=0 (SDT)",,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,e^{4-x^2},,"relative maximum at x=0, f=54.59815 (by Second Derivative Test)","relative maximum at x=0, f=54.59815 (SDT)",,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,\ln\left(x^2+3\right),,"relative minimum at x=0, f=1.098612 (by Second Derivative Test)","relative minimum at x=0, f=1.098612 (SDT)",,